ABRANTES,municipe@cm-abrantes.pt
VILA NOVA DE POIARES,cmvnp@mail.telepac.pt
VILA POUCA DE AGUIAR,geral@cm-vpaguiar.pt
VILA REAL,geral@cm-vilareal.pt
VILA REAL DE SANTO ANTóNIO,geral@cm-vrsa.pt
VILA VELHA DE RóDãO,geral@cm-vvrodao.pt
VILA VERDE,geral@cm-vilaverde.pt
VILA VIçOSA,geral@cm-vilavicosa.pt
VIMIOSO,gi.cmv@cm-vimioso.pt
VINHAIS,geral@cm-vinhais.pt
VISEU,apoiomunicipe@cmviseu.pt
VIZELA,geral@cm-vizela.pt
VOUZELA,geral@cm-vouzela.pt
